#21_and_31
review_text,label
"This product is amazing, works perfectly and delivered on time",genuine
"Best item ever!! Totally worth buying again",genuine
"Great product, loved it!",genuine
"Buy this now, great deal, five stars, cheap price",fake
"Excellent quality, I recommend everyone",genuine
"Awesome product, must buy, low price",fake
"Love this! Well made, sturdy, and very comfortable. I love it!Very pretty",genuine
"love it, a great upgrade from the original. I've had mine for a couple of years",genuine
"This pillow saved my back. I love the look and feel of this pillow.",genuine
"Missing information on how to use it, but it is a great product for the price! I",genuine
"Very nice set. Good quality. We have had the set for two months now and have not been",genuine
"I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.",genuine
"They are the perfect touch for me and the only thing I wish they had a little more space.",genuine
"These done fit well and look great. I love the smoothness of the edges and the extra",genuine
"Great big numbers & easy to read, the only thing I didn't like is the size of the",genuine
"My son loves this comforter and it is very well made. We also have a baby",genuine
"As advertised. 5th one I've had. The only problem is that it's not really a",genuine
"Very handy for one of my kids and the tools are included in the package. I have one in",genuine
"Did someone say, 'Oriental for $6fake'? It is a great product for the",genuine
"These are so flimsy! They are not the quality you would expect from a piece of furniture.",genuine
"Makes may tea with out stirring. The only problem is that it's kind of hard to put",genuine
"Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they",genuine
"Love this! Perfect size for an entire family!Very good quality.",genuine
"These look beautiful and so nice. The only problem is that it's not really a mesh one.",genuine
"Exactly what you would expect. I love the look and feel of this pillow.",genuine
"genuinefake Stars, I would highly recommend this item. We love this blanket.",genuine
"Great little egg masher. We have had it for a few months now and it's been",genuine
"As advertised. Easy to use. Love the colors. Also, the dimensions are just",genuine
"it is exactly as pictured. I love the look and feel of this pillow.",genuine
"Fantastic, just what I wanted!!! I love the look and feel of this pillow.",genuine
"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",genuine
"Easy to use. Seems to be an easy way to make a smoothie for a small person.",genuine
"Not what I am accustomed to. The only reason I gave it 4 stars is because I just can",genuine
"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",genuine
"So good we bought the second set and they look just like the first one. I am not sure",genuine
"Wonderful aroma throughout the house. The only problem is that it's kind of hard to put",genuine
"Received in no time flat. I love the look. My husband likes it too.",genuine
"These are okay they are not as nice as the ones I got from my local store but they are",genuine
"gave them away - thought it would be a good addition to my kitchen! I am very",genuine
"Product is fine, wish it had an option to have a separate handle.",genuine
"Awesome is all I have to say, the materials are good, and the quality is decent.",genuine
"Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we",genuine
"Well made, works great. We have had the wooden part of the cup for a couple of",genuine
"Bought these to go with my old suction cups. I also love that they are removable and",genuine
"Just as expected! Looks great and has the design to make it a nice place for the baby to",genuine
"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",genuine
"Does a great job of keeping the suction on. I also love that it doesn't slide.",genuine
"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.",genuine
"Save $ on these instead of the original shipping box. I will keep my money!Very pretty.",genuine
"These towels are real nice, and I love the feel of them. They have a nice feel",genuine
"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",genuine
"Alright for the price,but was a little disappointed with the quality of the product.",genuine
"Great quality, beautiful color. We have had the same one for a few months now and love",genuine
"I put paper in one corner of the cabinet and put a piece of paper in the other corner.",genuine
"Great stickers but a little small. The only reason I gave it 4 stars is because the one in",genuine
"Great quality and the fabric looks great. It is thick enough to hold a small amount of coffee",genuine
"Perfect. They do exactly what I need them to do. I will keep them for a long time",genuine
"Love this movie & the time it took to finish. I will keep my review for the next time",genuine
"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",genuine
"Got these for the third time. I have a small dog and my son loves to throw them",genuine
"Excellent product and a much better quality than the one you get at Walmart for $5fake.",genuine
"These are just perfect, exactly what I was looking for.",fake
"Such a great purchase can't beat it for the price",fake
"What can you say--- cheap and it works as intended.",fake
"These are so nice, sturdy, like the color choices too.",fake
"It is nice bowl and have had a fast shipping!",fake
"Great cup. Will last forever. Keeps things cool / warm.",fake
"Love them, just thought they would be a bit bigger!",fake
"Excellent quality product. Perfect for my ccozinha.",fake
"This fan is really pretty and I actually use it.",fake
"Super rough, not soft wash cloths, more like bar towels",fake
"Like this little guy. Use it often. He is small.",fake
"Perfect size .easy to unfold. Topremoves for storage. Love this.",fake
"Does not do a very good job; difficult to use.",fake
"frame was beautifully crafted and looks great with my picture.",fake
"My hot cocoa is finally perfect! This product is fabulous",fake
"i bought this for a friend and he loves it.",fake
"Very soft and great quality for such a low price!",fake
"Purchased as a Christmas gift. She will love it.",fake
"accurate description, works great, came on time, i'm very happy!",fake
"Use it in my Duvet cover. Fluffy and perfect fit!",fake
"One of the softest blankets ever. So nice and cozy.",fake
"Smells great, and the fine mist dries quickly. My favorite.",fake
"Exactly what I was expecting. perfect curtains for my bedroom.",fake
"Just what I wanted to hang my pants and skirts.",fake
"It's kind of small, we were looking for something larger.",fake
"A little pricey for what it is.",fake
"works great & the charge kept up all day long",fake
"This is a nice quality frame at a good price",fake
"Does the job, but nothing special. Not hard to install.",fake
"Item as described and arrived in a timely manner.",fake
"Bought 2 and sent one back because it didn't work",fake
"Made well holds all my make brushes, pencils, mascara etc.",fake
"sheds all over, would not buy it ever again. blanket.",fake
"Works great, it's Pyrex, I'd expect nothing less from them.",fake
"we like this little opener, real easy on my hands.",fake
"Perfect. Love everything about them. Look great in my kitchen.",fake
"air tight and it works great glad i got it",fake
"Very cute and good quality fabric. Zippers worked well too.",fake
"These were great to send my grandkids their Halloween treats",fake
"Save a ton by using these instead of paper towels!",fake
"These are so weak. They barely bring in any air.",fake
"Great set of glasses! Good quality, comfortable to handle.",fake
"It feels cool to the touch but is super hard.",fake
"So cute, made well my grand daughter will love this.",fake
"Works as expected for connecting CCTV power supply to cameras.",fake
"This book I can't wait for more by this author. I will definitely be reading the next one.",Genuine
"Love this series cant wait for more by this author. I will keep my eyes peeled for the next",Genuine
"Read the books 2 time reading. The characters are well developed and believable. The story flows smoothly.",Genuine
"very enjoyable. I would recommend this book to anyone. I really enjoyed this book.",Genuine
"Great story can't wait for more. The characters are well developed and the story is well written.",Genuine
"This was a very good book. The characters were well developed and kept my interest.",Genuine
"Fun reading - lots of action and suspense. Not too much sex, just a little bit of",Genuine
"Absolutely love Cage! This series is an amazing story and you will not be disappointed.",Genuine
"Elle Casey Thank You for reading this book. It is a great book for a beginner to the",Genuine
"Great for all thos ebeta readers. The story is a good read. If you are looking",Genuine
"Great book and have read it in one sitting. I will keep reading it.",Genuine
"Not a book worth the time it took to read. I will admit that I was a bit nervous",Genuine
"I love all the books in this series. I loved all the characters, the way they came",Genuine
"Always a pleasure able, easy reading. The characters are well developed and believable. The story flows smoothly",Genuine
"Another good read of this series. The characters are well developed and the story is well told.",Genuine
"Five stars! Check out all her other awesome books too!",Fake
"As with all the others in series this was great.",Fake
"Gave as a gift. He seems to really like it.",Fake
"Love a good mystery, hope its solved by thitd book",Fake
"Awesome, sexy, sassy, but most of all just heart warming.",Fake
"Ve5ry fast reading content., pulls the reader along very quickly;",Fake
"I am waiting somewhat patiently for Mr. Pattersons next novel.",Fake
"Loved the book kept me interested from beginning to end",Fake
